,year,Q,DBO gross,revenue,zDBO,zRev,b,a,y_hat,residuals
12,2017.0,1.0,2912280871.0,1283400000.0,0.8470026771921185,0.6276482928826563,0.4386670068653568,104525147.73475218,1382046680.5675564,-98646680.56755638
13,2017.0,2.0,2705602209.0,1202300000.0,0.6524783198818541,0.4557513142749931,0.4386670068653568,104525147.73475218,1291383570.5250795,-89083570.52507949
14,2017.0,3.0,2562244996.0,1178700000.0,0.5175516203630829,0.4057295054569801,0.4386670068653568,104525147.73475218,1228497490.9858105,-49797490.98581052
15,2017.0,4.0,2895259444.0,1416800000.0,0.8309822418184921,0.9103986867946452,0.4386670068653568,104525147.73475218,1374579942.1328893,42220057.86711073
16,2018.0,1.0,2858379432.0,1383600000.0,0.7962710599167298,0.8400290235421861,0.4386670068653568,104525147.73475218,1358401897.655691,25198102.34430909
17,2018.0,2.0,3347412357.0,1442500000.0,1.2565450645896636,0.9648715887701932,0.4386670068653568,104525147.73475218,1572924507.124051,-130424507.1240511
18,2018.0,3.0,2734900097.0,1221400000.0,0.6800532653483973,0.4962350663268595,0.4386670068653568,104525147.73475218,1304235587.361516,-82835587.361516
19,2018.0,4.0,2951468125.0,1413300000.0,0.8838854174098971,0.9029801981987532,0.4386670068653568,104525147.73475218,1399236835.9870088,14063164.01299119
20,2019.0,1.0,2400027437.0,1200400000.0,0.3648737091381936,0.451724134751509,0.4386670068653568,104525147.73475218,1157337999.9182758,43062000.08172417
21,2019.0,2.0,3261698580.0,1506100000.0,1.175871920965576,1.0996761243983977,0.4386670068653568,104525147.73475218,1535324701.1203365,-29224701.120336533
22,2019.0,3.0,2812620625.0,1316800000.0,0.7532032248687197,0.6984418697691662,0.4386670068653568,104525147.73475218,1338329018.7512712,-21529018.751271248
23,2019.0,4.0,2889014247.0,1447700000.0,0.8251043107299842,0.9758933432555179,0.4386670068653568,104525147.73475218,1371840380.2576144,75859619.74238563
24,2020.0,1.0,1789173905.0,941500000.0,-0.2100569081453896,-0.09703206452745557,0.4386670068653568,104525147.73475218,889376709.4027042,52123290.59729576
25,2020.0,2.0,4725480.0,18900000.0,-1.8895659569626235,-2.0525456584045227,0.4386670068653568,104525147.73475218,106598059.90235429,-87698059.90235429
26,2020.0,3.0,126154944.0,119500000.0,-1.7752774851167494,-1.8393171004768911,0.4386670068653568,104525147.73475218,159865159.42049888,-40365159.42049888
27,2020.0,4.0,193792471.0,162500000.0,-1.7116175681112356,-1.7481756691559351,0.4386670068653568,104525147.73475218,189535510.94136363,-27035510.941363633
28,2021.0,1.0,236495603.0,148300000.0,-1.6714257107271608,-1.7782735371735532,0.4386670068653568,104525147.73475218,208267966.03957987,-59967966.03957987
29,2021.0,2.0,811084276.0,444700000.0,-1.1306272981020458,-1.1500335315100343,0.4386670068653568,104525147.73475218,460321059.40322715,-15621059.40322715
30,2021.0,3.0,1367417382.0,763200000.0,-0.6070108838682765,-0.4749510692838842,0.4386670068653568,104525147.73475218,704366037.8323543,58833962.16764569
31,2021.0,4.0,2067811192.0,1171700000.0,0.05219435016956261,0.39089252826519655,0.4386670068653568,104525147.73475218,1011605694.0920775,160094305.9079225
32,2022.0,1.0,1344645095.0,785700000.0,-0.6284439841713929,-0.4272607854531515,0.4386670068653568,104525147.73475218,694376586.8545854,91323413.14541459
33,2022.0,2.0,2325778439.0,1166400000.0,0.2949911267897501,0.3796588169628462,0.4386670068653568,104525147.73475218,1124767414.2028642,41632585.79713583
34,2022.0,3.0,1923613844.0,968400000.0,-0.08352307790989989,-0.04001568074760176,0.4386670068653568,104525147.73475218,948351075.0469958,20048924.95300424
35,2022.0,4.0,1774933958.0,990900000.0,-0.22345943606724747,0.0076746030831309625,0.4386670068653568,104525147.73475218,883130114.474293,107769885.525707
